Neighborhood;Borough;PopDisability;Hearing;Vision;Cognitive;Ambulatory;SelfCare;IndLiving;Under18Disability
Greenpoint;Brooklyn;2.610;765;378;1.027;1.303;599;1.022;68
Williamsburg;Brooklyn;4.531;785;765;1.995;2.216;902;1.901;346
South Williamsburg;Brooklyn;3.324;708;605;1.166;2.132;858;1.398;508
East Williamsburg;Brooklyn;6.926;902;1.496;2.663;4.235;1.195;2.556;513
Brooklyn Heights;Brooklyn;1.977;426;420;495;957;328;644;13
Downtown Brooklyn-DUMBO-Boerum Hill;Brooklyn;3.271;574;999;1.141;1.780;725;1.351;176
Fort Greene;Brooklyn;4.017;504;851;1.659;2.097;787;1.672;259
Clinton Hill;Brooklyn;2.549;508;306;658;1.443;435;998;25
Bedford-Stuyvesant (West);Brooklyn;8.166;1.157;1.517;3.288;4.857;1.805;2.865;637
Bedford-Stuyvesant (East);Brooklyn;9.978;1.042;1.770;3.099;6.714;2.202;3.682;628
Bushwick (West);Brooklyn;4.483;693;779;2.195;2.419;1.146;1.632;311
Bushwick (East);Brooklyn;6.313;879;1.104;2.118;4.250;1.663;2.720;385
Cypress Hills;Brooklyn;3.291;386;394;1.065;2.090;1.035;1.590;207
East New York (North);Brooklyn;4.480;659;1.165;1.521;2.523;1.246;1.953;519
East New York-New Lots;Brooklyn;7.510;1.193;1.362;2.887;5.150;1.913;2.973;585
Spring Creek-Starrett City;Brooklyn;3.614;532;653;1.121;2.387;1.197;2.199;57
East New York-City Line;Brooklyn;4.638;745;756;1.075;3.318;1.063;2.723;264
Carroll Gardens-Cobble Hill-Gowanus-Red Hook;Brooklyn;5.281;837;970;2.158;3.230;951;1.953;323
Park Slope;Brooklyn;3.158;998;638;1.238;1.486;537;960;324
Windsor Terrace-South Slope;Brooklyn;2.072;466;231;872;1.287;415;953;163
Sunset Park (West);Brooklyn;4.688;1.180;1.007;1.884;2.586;1.438;2.053;288
Sunset Park (Central);Brooklyn;3.045;680;619;1.316;1.668;977;1.299;226
Prospect Heights;Brooklyn;2.015;434;457;773;1.128;271;807;56
Crown Heights (North);Brooklyn;10.206;1.314;1.485;4.431;6.500;2.467;3.980;404
Crown Heights (South);Brooklyn;5.432;824;966;2.179;3.517;1.312;2.077;511
Prospect Lefferts Gardens-Wingate;Brooklyn;4.496;482;632;1.472;2.838;954;1.586;221
Bay Ridge;Brooklyn;9.258;2.121;1.422;3.203;5.478;2.530;4.318;635
Dyker Heights;Brooklyn;4.727;1.317;892;1.747;2.869;1.491;2.223;263
Bensonhurst;Brooklyn;10.718;2.410;2.159;3.229;6.479;2.998;5.755;442
Bath Beach;Brooklyn;3.565;830;859;1.080;2.311;1.127;1.924;249
Gravesend (West);Brooklyn;5.567;1.058;1.068;1.908;3.808;1.896;3.284;209
Sunset Park (East)-Borough Park (West);Brooklyn;2.168;439;591;758;1.244;483;1.042;149
Borough Park;Brooklyn;4.946;1.075;761;1.809;2.968;1.537;2.319;442
Kensington;Brooklyn;3.709;785;697;1.345;2.014;1.159;1.486;343
Mapleton-Midwood (West);Brooklyn;3.426;871;814;1.279;2.135;968;1.461;121
Gravesend (South);Brooklyn;4.680;933;880;1.821;3.490;1.656;2.608;360
Coney Island-Sea Gate;Brooklyn;10.032;1.871;1.381;4.220;6.835;3.053;5.100;463
Brighton Beach;Brooklyn;5.562;1.313;1.146;2.182;3.705;2.661;3.822;192
Flatbush;Brooklyn;4.774;570;1.064;1.804;2.967;1.219;2.020;229
Flatbush (West)-Ditmas Park-Parkville;Brooklyn;4.508;1.143;1.162;1.872;2.914;1.872;2.480;157
Midwood;Brooklyn;6.030;1.538;1.472;2.174;4.069;2.137;3.415;273
Gravesend (East)-Homecrest;Brooklyn;5.336;1.251;1.190;2.072;3.276;1.726;2.737;273
Madison;Brooklyn;4.193;843;695;1.525;2.880;1.484;2.252;144
Sheepshead Bay-Manhattan Beach-Gerritsen Beach;Brooklyn;7.926;1.620;1.179;2.395;5.355;2.341;4.513;322
Ocean Hill;Brooklyn;5.113;500;776;1.867;3.686;846;1.354;96
Brownsville;Brooklyn;8.167;840;2.165;3.053;4.931;1.425;3.188;704
